enr_pathway,one_lower_level,top_level,enr_description,one_lower_level_description,top_level_description
R-HSA-445989,R-HSA-168249,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Innate Immune System,Immune System
R-HSA-445989,R-HSA-168249,R-HSA-168256,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,Innate Immune System,Immune System
R-HSA-6791462,R-HSA-5668914,R-HSA-1643685,"TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P",Diseases of metabolism,Disease
R-HSA-6791055,R-HSA-5668914,R-HSA-1643685,"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P",Diseases of metabolism,Disease
R-HSA-8854214,R-HSA-199991,R-HSA-5653656,TBC/RABGAPs,Membrane Trafficking,Vesicle-mediated transport
R-HSA-201681,R-HSA-195721,R-HSA-162582,TCF dependent signaling in response to WNT,Signaling by WNT,Signal Transduction
R-HSA-202403,R-HSA-1280218,R-HSA-168256,TCR signaling,Adaptive Immune System,Immune System
R-HSA-5221030,R-HSA-212165,R-HSA-74160,"TET1,2,3 and TDG demethylate DNA",Epigenetic regulation of gene expression,Gene expression (Transcription)
R-HSA-8866911,R-HSA-73857,R-HSA-74160,TFAP2 (AP-2) family regulates transcription of cell cycle factors,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-8866910,R-HSA-73857,R-HSA-74160,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-8866906,R-HSA-73857,R-HSA-74160,TFAP2 (AP-2) family regulates transcription of other transcription factors,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-8869496,R-HSA-73857,R-HSA-74160,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-2173789,R-HSA-9006936,R-HSA-162582,TGF-beta receptor signaling activates SMADs,Signaling by TGFB family members,Signal Transduction
R-HSA-2173791,R-HSA-9006936,R-HSA-162582,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),Signaling by TGFB family members,Signal Transduction
R-HSA-3656532,R-HSA-5663202,R-HSA-1643685,TGFBR1 KD Mutants in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-3656535,R-HSA-5663202,R-HSA-1643685,TGFBR1 LBD Mutants in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-3645790,R-HSA-5663202,R-HSA-1643685,TGFBR2 Kinase Domain Mutants in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-3642279,R-HSA-5663202,R-HSA-1643685,TGFBR2 MSI Frameshift Mutants in Cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5602566,R-HSA-5260271,R-HSA-1643685,TICAM1 deficiency - HSE,Diseases of Immune System,Disease
R-HSA-168927,R-HSA-168249,R-HSA-168256,"TICAM1, RIP1-mediated IKK complex recruitment",Innate Immune System,Immune System
R-HSA-9014325,R-HSA-168249,R-HSA-168256,"TICAM1,TRAF6-dependent induction of TAK1 complex",Innate Immune System,Immune System
R-HSA-9013973,R-HSA-168249,R-HSA-168256,TICAM1-dependent activation of IRF3/IRF7,Innate Immune System,Immune System
R-HSA-5602410,R-HSA-5260271,R-HSA-1643685,TLR3 deficiency - HSE,Diseases of Immune System,Disease
R-HSA-9013957,R-HSA-168249,R-HSA-168256,TLR3-mediated TICAM1-dependent programmed cell death,Innate Immune System,Immune System
R-HSA-5676594,R-HSA-1280215,R-HSA-168256,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,Cytokine Signaling in Immune system,Immune System
R-HSA-75893,R-HSA-73887,R-HSA-162582,TNF signaling,Death Receptor Signalling,Signal Transduction
R-HSA-5357956,R-HSA-73887,R-HSA-162582,TNFR1-induced NFkappaB signaling pathway,Death Receptor Signalling,Signal Transduction
R-HSA-5357786,R-HSA-73887,R-HSA-162582,TNFR1-induced proapoptotic signaling,Death Receptor Signalling,Signal Transduction
R-HSA-5626978,R-HSA-73887,R-HSA-162582,TNFR1-mediated ceramide production,Death Receptor Signalling,Signal Transduction
R-HSA-5668541,R-HSA-1280215,R-HSA-168256,TNFR2 non-canonical NF-kB pathway,Cytokine Signaling in Immune system,Immune System
R-HSA-5669034,R-HSA-1280215,R-HSA-168256,TNFs bind their physiological receptors,Cytokine Signaling in Immune system,Immune System
R-HSA-5628897,R-HSA-73857,R-HSA-74160,TP53 Regulates Metabolic Genes,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6803207,R-HSA-73857,R-HSA-74160,TP53 Regulates Transcription of Caspase Activators and Caspases,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6791312,R-HSA-73857,R-HSA-74160,TP53 Regulates Transcription of Cell Cycle Genes,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-5633008,R-HSA-73857,R-HSA-74160,TP53 Regulates Transcription of Cell Death Genes,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6796648,R-HSA-73857,R-HSA-74160,TP53 Regulates Transcription of DNA Repair Genes,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6803211,R-HSA-73857,R-HSA-74160,TP53 Regulates Transcription of Death Receptors and Ligands,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6803204,R-HSA-73857,R-HSA-74160,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6804116,R-HSA-73857,R-HSA-74160,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6804114,R-HSA-73857,R-HSA-74160,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6804115,R-HSA-73857,R-HSA-74160,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-6803205,R-HSA-73857,R-HSA-74160,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-5602571,R-HSA-5260271,R-HSA-1643685,TRAF3 deficiency - HSE,Diseases of Immune System,Disease
R-HSA-918233,R-HSA-168249,R-HSA-168256,TRAF3-dependent IRF activation pathway,Innate Immune System,Immune System
R-HSA-933541,R-HSA-168249,R-HSA-168256,TRAF6 mediated IRF7 activation,Innate Immune System,Immune System
R-HSA-975110,R-HSA-168249,R-HSA-168256,TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,Innate Immune System,Immune System
R-HSA-975110,R-HSA-168249,R-HSA-168256,TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,Innate Immune System,Immune System
R-HSA-933542,R-HSA-168249,R-HSA-168256,TRAF6 mediated NF-kB activation,Innate Immune System,Immune System
R-HSA-975138,R-HSA-168249,R-HSA-168256,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,Innate Immune System,Immune System
R-HSA-975138,R-HSA-168249,R-HSA-168256,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,Innate Immune System,Immune System
R-HSA-937072,R-HSA-168249,R-HSA-168256,TRAF6-mediated induction of TAK1 complex within TLR4 complex,Innate Immune System,Immune System
R-HSA-75158,R-HSA-73887,R-HSA-162582,TRAIL  signaling,Death Receptor Signalling,Signal Transduction
R-HSA-937061,R-HSA-168249,R-HSA-168256,TRIF(TICAM1)-mediated TLR4 signaling,Innate Immune System,Immune System
R-HSA-2562578,R-HSA-168249,R-HSA-168256,TRIF-mediated programmed cell death,Innate Immune System,Immune System
R-HSA-187042,R-HSA-9006934,R-HSA-162582,TRKA activation by NGF,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-3295583,R-HSA-983712,R-HSA-382551,TRP channels,Ion channel transport,Transport of small molecules
R-HSA-1299503,R-HSA-1296071,R-HSA-112316,TWIK related potassium channel (TREK),Potassium Channels,Neuronal System
R-HSA-1299361,R-HSA-1296071,R-HSA-112316,TWIK-related alkaline pH activated K+ channel (TALK),Potassium Channels,Neuronal System
R-HSA-1299344,R-HSA-1296071,R-HSA-112316,TWIK-related spinal cord K+ channel (TRESK),Potassium Channels,Neuronal System
R-HSA-1299316,R-HSA-1296071,R-HSA-112316,TWIK-releated acid-sensitive K+ channel (TASK),Potassium Channels,Neuronal System
R-HSA-9033500,R-HSA-9033241,R-HSA-9609507,TYSND1 cleaves peroxisomal proteins,Peroxisomal protein import,Protein localization
R-HSA-380095,R-HSA-372790,R-HSA-162582,Tachykinin receptors bind tachykinins,Signaling by GPCR,Signal Transduction
R-HSA-1299308,R-HSA-1296071,R-HSA-112316,Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK),Potassium Channels,Neuronal System
R-HSA-1299287,R-HSA-1296071,R-HSA-112316,Tandem pore domain halothane-inhibited K+ channel (THIK),Potassium Channels,Neuronal System
R-HSA-1296346,R-HSA-1296071,R-HSA-112316,Tandem pore domain potassium channels,Potassium Channels,Neuronal System
R-HSA-167243,R-HSA-5663205,R-HSA-1643685,Tat-mediated HIV elongation arrest and recovery,Infectious disease,Disease
R-HSA-167246,R-HSA-5663205,R-HSA-1643685,Tat-mediated elongation of the HIV-1 transcript,Infectious disease,Disease
R-HSA-174417,R-HSA-73886,R-HSA-1640170,Telomere C-strand (Lagging Strand) Synthesis,Chromosome Maintenance,Cell Cycle
R-HSA-174430,R-HSA-73886,R-HSA-1640170,Telomere C-strand synthesis initiation,Chromosome Maintenance,Cell Cycle
R-HSA-171319,R-HSA-73886,R-HSA-1640170,Telomere Extension By Telomerase,Chromosome Maintenance,Cell Cycle
R-HSA-157579,R-HSA-73886,R-HSA-1640170,Telomere Maintenance,Chromosome Maintenance,Cell Cycle
R-HSA-166665,R-HSA-168249,R-HSA-168256,Terminal pathway of complement,Innate Immune System,Immune System
R-HSA-977068,R-HSA-597592,R-HSA-392499,Termination of O-glycan biosynthesis,Post-translational protein modification,Metabolism of proteins
R-HSA-5656169,R-HSA-73893,R-HSA-73894,Termination of translesion DNA synthesis,DNA Damage Bypass,DNA Repair
R-HSA-1474151,R-HSA-196854,R-HSA-1430728,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",Metabolism of vitamins and cofactors,Metabolism
R-HSA-844615,R-HSA-168249,R-HSA-168256,The AIM2 inflammasome,Innate Immune System,Immune System
R-HSA-844623,R-HSA-168249,R-HSA-168256,The IPAF inflammasome,Innate Immune System,Immune System
R-HSA-844455,R-HSA-168249,R-HSA-168256,The NLRP1 inflammasome,Innate Immune System,Immune System
R-HSA-844456,R-HSA-168249,R-HSA-168256,The NLRP3 inflammasome,Innate Immune System,Immune System
R-HSA-1663150,R-HSA-597592,R-HSA-392499,The activation of arylsulfatases,Post-translational protein modification,Metabolism of proteins
R-HSA-2453902,R-HSA-2187338,R-HSA-9709957,The canonical retinoid cycle in rods (twilight vision),Visual phototransduction,Sensory Perception
R-HSA-1428517,R-HSA-1428517,R-HSA-1430728,The citric acid (TCA) cycle and respiratory electron transport,The citric acid (TCA) cycle and respiratory electron transport,Metabolism
R-HSA-167826,R-HSA-1428517,R-HSA-1430728,The fatty acid cycling model,The citric acid (TCA) cycle and respiratory electron transport,Metabolism
R-HSA-2514856,R-HSA-2187338,R-HSA-9709957,The phototransduction cascade,Visual phototransduction,Sensory Perception
R-HSA-167827,R-HSA-1428517,R-HSA-1430728,The proton buffering model,The citric acid (TCA) cycle and respiratory electron transport,Metabolism
R-HSA-2187335,R-HSA-2187338,R-HSA-9709957,The retinoid cycle in cones (daylight vision),Visual phototransduction,Sensory Perception
R-HSA-8852276,R-HSA-69278,R-HSA-1640170,The role of GTSE1 in G2/M progression after G2 checkpoint,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-164952,R-HSA-5663205,R-HSA-1643685,The role of Nef in HIV-1 replication and disease pathogenesis,Infectious disease,Disease
R-HSA-8849175,R-HSA-71291,R-HSA-1430728,Threonine catabolism,Metabolism of amino acids and derivatives,Metabolism
R-HSA-456926,R-HSA-76002,R-HSA-109582,Thrombin signalling through proteinase activated receptors (PARs),"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-428930,R-HSA-76002,R-HSA-109582,Thromboxane signalling through TP receptor,"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-209968,R-HSA-71291,R-HSA-1430728,Thyroxine biosynthesis,Metabolism of amino acids and derivatives,Metabolism
R-HSA-210993,R-HSA-202733,R-HSA-109582,Tie2 Signaling,Cell surface interactions at the vascular wall,Hemostasis
R-HSA-420029,R-HSA-446728,R-HSA-1500931,Tight junction interactions,Cell junction organization,Cell-Cell communication
R-HSA-1222538,R-HSA-5663205,R-HSA-1643685,Tolerance by Mtb to nitric oxide produced by macrophages,Infectious disease,Disease
R-HSA-1222387,R-HSA-5663205,R-HSA-1643685,Tolerance of reactive oxygen produced by macrophages,Infectious disease,Disease
R-HSA-168142,R-HSA-168249,R-HSA-168256,Toll Like Receptor 10 (TLR10) Cascade,Innate Immune System,Immune System
R-HSA-181438,R-HSA-168249,R-HSA-168256,Toll Like Receptor 2 (TLR2) Cascade,Innate Immune System,Immune System
R-HSA-168164,R-HSA-168249,R-HSA-168256,Toll Like Receptor 3 (TLR3) Cascade,Innate Immune System,Immune System
R-HSA-166016,R-HSA-168249,R-HSA-168256,Toll Like Receptor 4 (TLR4) Cascade,Innate Immune System,Immune System
R-HSA-168176,R-HSA-168249,R-HSA-168256,Toll Like Receptor 5 (TLR5) Cascade,Innate Immune System,Immune System
R-HSA-168181,R-HSA-168249,R-HSA-168256,Toll Like Receptor 7/8 (TLR7/8) Cascade,Innate Immune System,Immune System
R-HSA-168138,R-HSA-168249,R-HSA-168256,Toll Like Receptor 9 (TLR9) Cascade,Innate Immune System,Immune System
R-HSA-168179,R-HSA-168249,R-HSA-168256,Toll Like Receptor TLR1:TLR2 Cascade,Innate Immune System,Immune System
R-HSA-168188,R-HSA-168249,R-HSA-168256,Toll Like Receptor TLR6:TLR2 Cascade,Innate Immune System,Immune System
R-HSA-168898,R-HSA-168249,R-HSA-168256,Toll-like Receptor Cascades,Innate Immune System,Immune System
R-HSA-5250968,R-HSA-5663205,R-HSA-1643685,Toxicity of botulinum toxin type A (botA),Infectious disease,Disease
R-HSA-5250958,R-HSA-5663205,R-HSA-1643685,Toxicity of botulinum toxin type B (botB),Infectious disease,Disease
R-HSA-5250971,R-HSA-5663205,R-HSA-1643685,Toxicity of botulinum toxin type C (botC),Infectious disease,Disease
R-HSA-5250955,R-HSA-5663205,R-HSA-1643685,Toxicity of botulinum toxin type D (botD),Infectious disease,Disease
R-HSA-5250992,R-HSA-5663205,R-HSA-1643685,Toxicity of botulinum toxin type E (botE),Infectious disease,Disease
R-HSA-5250981,R-HSA-5663205,R-HSA-1643685,Toxicity of botulinum toxin type F (botF),Infectious disease,Disease
R-HSA-5250989,R-HSA-5663205,R-HSA-1643685,Toxicity of botulinum toxin type G (botG),Infectious disease,Disease
R-HSA-5250982,R-HSA-5663205,R-HSA-1643685,Toxicity of tetanus toxin (tetX),Infectious disease,Disease
R-HSA-1679131,R-HSA-168249,R-HSA-168256,Trafficking and processing of endosomal TLR,Innate Immune System,Immune System
R-HSA-399719,R-HSA-112315,R-HSA-112316,Trafficking of AMPA receptors,Transmission across Chemical Synapses,Neuronal System
R-HSA-416993,R-HSA-112315,R-HSA-112316,Trafficking of GluR2-containing AMPA receptors,Transmission across Chemical Synapses,Neuronal System
R-HSA-5624138,R-HSA-5617833,R-HSA-1852241,Trafficking of myristoylated proteins to the cilium,Cilium Assembly,Organelle biogenesis and maintenance
R-HSA-75944,R-HSA-75944,R-HSA-74160,Transcription from mitochondrial promoters,Transcription from mitochondrial promoters,Gene expression (Transcription)
R-HSA-1362277,R-HSA-69278,R-HSA-1640170,Transcription of E2F targets under negative control by DREAM complex,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-1362300,R-HSA-69278,R-HSA-1640170,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-9682708,R-HSA-5663205,R-HSA-1643685,Transcription of SARS-CoV-1 sgRNAs,Infectious disease,Disease
R-HSA-9694786,R-HSA-5663205,R-HSA-1643685,Transcription of SARS-CoV-2 sgRNAs,Infectious disease,Disease
R-HSA-167172,R-HSA-5663205,R-HSA-1643685,Transcription of the HIV genome,Infectious disease,Disease
R-HSA-6781827,R-HSA-5696398,R-HSA-73894,Transcription-Coupled Nucleotide Excision Repair (TC-NER),Nucleotide Excision Repair,DNA Repair
R-HSA-69895,R-HSA-69620,R-HSA-1640170,Transcriptional  activation of  cell cycle inhibitor p21,Cell Cycle Checkpoints,Cell Cycle
R-HSA-8953750,R-HSA-73857,R-HSA-74160,Transcriptional Regulation by E2F6,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-8986944,R-HSA-73857,R-HSA-74160,Transcriptional Regulation by MECP2,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-3700989,R-HSA-73857,R-HSA-74160,Transcriptional Regulation by TP53,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-8853884,R-HSA-73857,R-HSA-74160,Transcriptional Regulation by VENTX,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-2151201,R-HSA-1592230,R-HSA-1852241,Transcriptional activation of mitochondrial biogenesis,Mitochondrial biogenesis,Organelle biogenesis and maintenance
R-HSA-69560,R-HSA-69620,R-HSA-1640170,Transcriptional activation of p53 responsive genes,Cell Cycle Checkpoints,Cell Cycle
R-HSA-2173793,R-HSA-9006936,R-HSA-162582,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,Signaling by TGFB family members,Signal Transduction
R-HSA-2173793,R-HSA-73857,R-HSA-74160,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-8878171,R-HSA-73857,R-HSA-74160,Transcriptional regulation by RUNX1,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-8878166,R-HSA-73857,R-HSA-74160,Transcriptional regulation by RUNX2,RNA Polymerase II Transcription,Gene expression (Transcription)
